module,subsystem,language,tech_stack,bug_type,severity
reporting,database,Go,SpringBoot,security,high
database,auth_sub,Java,PostgreSQL,performance,high
analytics,auth_sub,JavaScript,React,,low
auth,backend,JavaScript,Kafka,integration,medium
payment,web,Python,PostgreSQL,network,critical
payment,router,Go,,integration,high
payment,web,Go,SpringBoot,integration,high
database,,TypeScript,PostgreSQL,performance,
notification,security,Go,SpringBoot,security,high
database,router,TypeScript,PostgreSQL,performance,high
gateway,queue,TypeScript,SpringBoot,performance,medium
,queue,JavaScript,PostgreSQL,performance,high
,ui,Python,Docker,network,critical
database,auth_sub,,Kafka,performance,critical
gateway,backend,TypeScript,PostgreSQL,security,critical
inventory,web,Java,Docker,performance,medium
reporting,,Java,Docker,network,high
analytics,auth_sub,JavaScript,Kafka,concurrency,medium
payment,backend,,SpringBoot,integration,
auth,api,Python,JWT,security,critical
auth,queue,Python,Docker,validation,high
,security,JavaScript,,performance,medium
database,database,TypeScript,PostgreSQL,performance,high
payment,api,,SpringBoot,integration,high
profile,backend,Go,React,network,
gateway,api,TypeScript,Docker,network,critical
database,router,TypeScript,Kafka,integration,medium
gateway,,JavaScript,PostgreSQL,validation,low
,auth_sub,Go,PostgreSQL,network,low
notification,,Python,PostgreSQL,concurrency,low
,queue,JavaScript,Kafka,,critical
gateway,router,,Docker,network,critical
auth,worker,Python,JWT,performance,low
payment,database,JavaScript,SpringBoot,,high
database,,Go,,performance,
,ui,TypeScript,SpringBoot,validation,high
,backend,JavaScript,JWT,performance,low
gateway,api,Java,SpringBoot,security,low
analytics,backend,,Kafka,concurrency,medium
auth,auth_sub,Python,JWT,security,critical
database,worker,Go,PostgreSQL,performance,high
payment,,Go,,performance,critical
gateway,security,TypeScript,Docker,,
notification,backend,JavaScript,Kafka,network,critical
payment,queue,Python,Docker,,low
payment,database,Go,PostgreSQL,,medium
database,security,Python,SpringBoot,concurrency,critical
inventory,,Java,Docker,,high
,router,Go,PostgreSQL,,high
payment,web,TypeScript,Kafka,integration,low
auth,,TypeScript,SpringBoot,concurrency,
,database,Java,JWT,performance,low
