module,subsystem,language,tech_stack,bug_type
reporting,database,Go,SpringBoot,security
database,auth_sub,Java,PostgreSQL,performance
analytics,auth_sub,JavaScript,React,integration
auth,backend,JavaScript,Kafka,integration
payment,web,Python,PostgreSQL,network
payment,router,Go,SpringBoot,integration
payment,web,Go,SpringBoot,integration
database,queue,TypeScript,PostgreSQL,performance
notification,security,Go,SpringBoot,security
database,router,TypeScript,PostgreSQL,performance
gateway,queue,TypeScript,SpringBoot,performance
database,queue,JavaScript,PostgreSQL,performance
gateway,ui,Python,Docker,network
database,auth_sub,Go,Kafka,performance
gateway,backend,TypeScript,PostgreSQL,security
inventory,web,Java,Docker,performance
reporting,ui,Java,Docker,network
analytics,auth_sub,JavaScript,Kafka,concurrency
payment,backend,Python,SpringBoot,integration
auth,api,Python,JWT,security
auth,queue,Python,Docker,validation
analytics,security,JavaScript,Kafka,performance
database,database,TypeScript,PostgreSQL,performance
payment,api,Python,SpringBoot,integration
profile,backend,Go,React,network
gateway,api,TypeScript,Docker,network
database,router,TypeScript,Kafka,integration
gateway,ui,JavaScript,PostgreSQL,validation
notification,auth_sub,Go,PostgreSQL,network
notification,web,Python,PostgreSQL,concurrency
analytics,queue,JavaScript,Kafka,security
gateway,router,JavaScript,Docker,network
auth,worker,Python,JWT,performance
payment,database,JavaScript,SpringBoot,integration
database,web,Go,PostgreSQL,performance
gateway,ui,TypeScript,SpringBoot,validation
reporting,backend,JavaScript,JWT,performance
gateway,api,Java,SpringBoot,security
analytics,backend,Java,Kafka,concurrency
auth,auth_sub,Python,JWT,security
database,worker,Go,PostgreSQL,performance
payment,security,Go,Docker,performance
gateway,security,TypeScript,Docker,network
notification,backend,JavaScript,Kafka,network
payment,queue,Python,Docker,integration
payment,database,Go,PostgreSQL,network
database,security,Python,SpringBoot,concurrency
inventory,backend,Java,Docker,performance
database,router,Go,PostgreSQL,performance
payment,web,TypeScript,Kafka,integration
auth,database,TypeScript,SpringBoot,concurrency
profile,database,Java,JWT,performance
analytics,security,Python,Kafka,concurrency
auth,database,Python,JWT,security
gateway,router,TypeScript,React,integration
reporting,database,JavaScript,JWT,performance
reporting,auth_sub,TypeScript,JWT,security
payment,security,Java,SpringBoot,integration
analytics,security,Go,Docker,integration
gateway,security,Java,Docker,network
gateway,queue,Python,React,security
gateway,auth_sub,Python,JWT,network
database,queue,TypeScript,PostgreSQL,concurrency
inventory,worker,TypeScript,React,concurrency
gateway,web,Go,React,integration
database,auth_sub,TypeScript,PostgreSQL,performance
payment,queue,Go,SpringBoot,integration
auth,ui,Go,JWT,security
search,auth_sub,TypeScript,JWT,integration
auth,ui,TypeScript,React,performance
database,queue,JavaScript,React,network
database,router,TypeScript,PostgreSQL,integration
payment,queue,Python,Docker,integration
payment,auth_sub,Python,SpringBoot,integration
database,queue,Java,PostgreSQL,performance
gateway,backend,JavaScript,Docker,network
reporting,web,Java,PostgreSQL,validation
database,ui,Java,JWT,security
database,auth_sub,JavaScript,Kafka,performance
auth,worker,Go,JWT,security
reporting,queue,Go,SpringBoot,concurrency
payment,ui,Python,SpringBoot,concurrency
database,backend,TypeScript,PostgreSQL,performance
analytics,queue,Java,Kafka,concurrency
notification,ui,JavaScript,React,integration
analytics,queue,Go,Docker,concurrency
auth,ui,JavaScript,JWT,security
database,security,TypeScript,JWT,integration
database,backend,JavaScript,JWT,integration
search,backend,JavaScript,React,performance
auth,security,Python,JWT,security
payment,queue,Java,SpringBoot,integration
database,api,Go,SpringBoot,performance
auth,api,Java,JWT,security
analytics,web,Java,Kafka,concurrency
gateway,database,Go,Docker,network
database,security,JavaScript,PostgreSQL,performance
payment,auth_sub,Java,React,integration
reporting,ui,Python,Kafka,security
auth,router,JavaScript,SpringBoot,validation
notification,backend,Python,PostgreSQL,security
profile,web,Go,Kafka,security
database,backend,Go,PostgreSQL,performance
gateway,ui,TypeScript,Docker,network
profile,web,Python,SpringBoot,performance
database,security,Go,React,validation
payment,worker,Python,PostgreSQL,security
profile,api,Python,SpringBoot,performance
auth,ui,TypeScript,Kafka,integration
gateway,security,JavaScript,Docker,network
notification,ui,JavaScript,SpringBoot,validation
notification,queue,JavaScript,Kafka,validation
analytics,auth_sub,Java,Docker,validation
search,api,JavaScript,Kafka,performance
payment,worker,TypeScript,PostgreSQL,network
gateway,database,JavaScript,Docker,network
reporting,security,TypeScript,JWT,security
analytics,security,JavaScript,Kafka,concurrency
auth,worker,JavaScript,JWT,security
profile,auth_sub,TypeScript,PostgreSQL,integration
payment,ui,Python,SpringBoot,integration
payment,backend,Java,SpringBoot,integration
notification,web,Python,SpringBoot,concurrency
payment,auth_sub,Java,JWT,network
payment,router,Java,SpringBoot,integration
reporting,api,TypeScript,React,network
payment,ui,Java,SpringBoot,integration
payment,api,Java,SpringBoot,integration
gateway,backend,Python,Docker,network
gateway,router,Go,Docker,integration
analytics,api,Python,JWT,validation
payment,ui,TypeScript,SpringBoot,integration
gateway,api,Python,Docker,network
reporting,ui,Python,JWT,security
search,database,TypeScript,PostgreSQL,concurrency
analytics,auth_sub,Python,JWT,performance
inventory,router,Java,React,security
analytics,backend,TypeScript,Kafka,concurrency
gateway,security,Python,Docker,network
