module,subsystem,language,tech_stack,bug_type,severity
auth,backend,Go,JWT,validation,critical
payment,frontend,Java,SpringBoot,security,low
inventory,backend,Go,SpringBoot,validation,critical
notification,frontend,TypeScript,SpringBoot,integration,medium
reporting,database,Java,Redis,validation,medium
payment,api,TypeScript,SpringBoot,integration,critical
notification,api,Python,PostgreSQL,security,medium
auth,backend,Go,Redis,performance,high
analytics,backend,Go,Kafka,concurrency,critical
payment,backend,TypeScript,SpringBoot,integration,critical
notification,backend,Go,Kafka,concurrency,high
database,database,Python,PostgreSQL,performance,high
search,frontend,TypeScript,React,validation,low
search,frontend,Go,JWT,performance,medium
payment,api,TypeScript,SpringBoot,integration,critical
reporting,frontend,JavaScript,React,validation,low
gateway,frontend,TypeScript,SpringBoot,memory,high
reporting,frontend,Java,Kafka,validation,medium
database,database,Java,PostgreSQL,performance,high
auth,api,Go,React,memory,low
notification,database,Go,Kafka,concurrency,low
payment,api,Java,SpringBoot,integration,critical
search,api,Java,Docker,performance,high
reporting,backend,TypeScript,Redis,validation,low
auth,security,Java,JWT,security,critical
reporting,frontend,TypeScript,React,validation,low
reporting,backend,Java,SpringBoot,logic,low
reporting,database,JavaScript,JWT,memory,high
analytics,frontend,JavaScript,Kafka,concurrency,critical
notification,backend,Java,Kafka,concurrency,high
search,security,Java,SpringBoot,validation,medium
auth,security,Java,JWT,security,critical
payment,security,Java,Docker,concurrency,low
payment,backend,Python,React,security,low
search,frontend,TypeScript,React,validation,low
profile,frontend,Go,Redis,logic,medium
inventory,database,JavaScript,Kafka,integration,high
analytics,security,JavaScript,Docker,concurrency,high
analytics,frontend,Python,React,validation,critical
payment,api,Go,Kafka,integration,critical
reporting,api,Go,PostgreSQL,memory,low
inventory,frontend,Go,React,security,high
profile,database,JavaScript,NodeJS,concurrency,medium
analytics,backend,Java,React,validation,medium
payment,api,Java,SpringBoot,integration,critical
notification,frontend,TypeScript,NodeJS,memory,high
inventory,database,JavaScript,PostgreSQL,memory,critical
auth,security,Java,JWT,security,critical
payment,database,TypeScript,PostgreSQL,validation,medium
auth,database,Python,NodeJS,validation,medium
database,database,Java,PostgreSQL,performance,high
notification,security,Java,Kafka,validation,critical
payment,api,Java,SpringBoot,integration,critical
auth,security,Java,JWT,security,critical
auth,security,Java,JWT,security,critical
database,database,Python,PostgreSQL,performance,high
gateway,frontend,Python,Kafka,concurrency,low
search,database,Python,SpringBoot,concurrency,high
payment,database,TypeScript,Docker,performance,medium
notification,database,Go,SpringBoot,concurrency,critical
gateway,frontend,JavaScript,Kafka,integration,high
profile,frontend,JavaScript,JWT,logic,high
database,database,Python,PostgreSQL,performance,high
analytics,security,Python,React,memory,critical
auth,security,Java,JWT,security,critical
notification,frontend,Python,Kafka,integration,low
notification,api,Python,PostgreSQL,security,medium
auth,security,Java,JWT,security,critical
gateway,backend,Go,Kafka,concurrency,critical
database,database,Python,PostgreSQL,performance,high
gateway,backend,Java,Kafka,concurrency,critical
reporting,api,Python,SpringBoot,concurrency,medium
analytics,api,Python,Redis,concurrency,medium
database,frontend,Python,PostgreSQL,validation,high
notification,api,TypeScript,PostgreSQL,logic,low
reporting,frontend,Java,NodeJS,logic,medium
reporting,frontend,JavaScript,NodeJS,logic,medium
auth,backend,Python,SpringBoot,validation,medium
search,database,Go,PostgreSQL,validation,high
auth,security,Java,JWT,security,critical
auth,database,Java,React,concurrency,medium
analytics,backend,Go,Kafka,concurrency,critical
analytics,security,Java,JWT,integration,critical
auth,security,Java,JWT,security,critical
database,api,Java,PostgreSQL,concurrency,medium
inventory,api,Go,React,concurrency,critical
database,database,Go,NodeJS,validation,low
database,database,Java,PostgreSQL,performance,high
profile,security,Go,SpringBoot,logic,low
database,backend,JavaScript,JWT,integration,low
inventory,frontend,TypeScript,JWT,logic,high
notification,backend,Go,Kafka,concurrency,critical
database,database,Java,PostgreSQL,performance,high
search,frontend,TypeScript,React,validation,low
payment,api,TypeScript,SpringBoot,integration,critical
analytics,backend,Go,PostgreSQL,memory,low
payment,frontend,TypeScript,PostgreSQL,security,high
reporting,database,TypeScript,React,integration,high
database,database,JavaScript,Kafka,memory,low
auth,security,Java,JWT,security,critical
database,database,Go,NodeJS,logic,critical
notification,backend,JavaScript,PostgreSQL,security,medium
analytics,frontend,TypeScript,SpringBoot,memory,high
gateway,security,Python,JWT,validation,low
notification,backend,Go,Kafka,concurrency,high
auth,api,JavaScript,Docker,logic,medium
analytics,backend,Java,Kafka,concurrency,critical
reporting,frontend,TypeScript,React,validation,low
search,database,Go,PostgreSQL,memory,medium
gateway,backend,Go,Kafka,concurrency,critical
notification,backend,JavaScript,JWT,integration,medium
notification,database,JavaScript,PostgreSQL,logic,low
inventory,security,Python,Redis,performance,low
gateway,backend,Java,Redis,performance,high
payment,api,TypeScript,SpringBoot,integration,critical
reporting,frontend,TypeScript,React,validation,low
inventory,api,TypeScript,NodeJS,integration,low
profile,api,TypeScript,Docker,logic,medium
notification,database,Python,JWT,integration,low
auth,database,Python,JWT,validation,low
database,database,Java,PostgreSQL,performance,high
database,database,Java,PostgreSQL,performance,high
auth,security,Java,JWT,security,critical
payment,database,Go,Docker,security,low
inventory,api,TypeScript,Docker,memory,low
analytics,backend,Go,Kafka,concurrency,critical
payment,api,Java,SpringBoot,integration,critical
analytics,frontend,Python,JWT,concurrency,medium
analytics,security,Java,Kafka,performance,high
database,database,Java,PostgreSQL,performance,high
database,database,Python,PostgreSQL,performance,high
