module,subsystem,language,tech_stack,bug_type,severity
reporting,database,Go,SpringBoot,security,high
database,auth_sub,Java,PostgreSQL,performance,high
analytics,auth_sub,JavaScript,React,integration,low
auth,backend,JavaScript,Kafka,integration,medium
payment,web,Python,PostgreSQL,network,critical
payment,router,Go,SpringBoot,integration,high
payment,web,Go,SpringBoot,integration,high
database,queue,TypeScript,PostgreSQL,performance,high
notification,security,Go,SpringBoot,security,high
database,router,TypeScript,PostgreSQL,performance,high
gateway,queue,TypeScript,SpringBoot,performance,medium
database,queue,JavaScript,PostgreSQL,performance,high
gateway,ui,Python,Docker,network,critical
database,auth_sub,Go,Kafka,performance,critical
gateway,backend,TypeScript,PostgreSQL,security,critical
inventory,web,Java,Docker,performance,medium
reporting,ui,Java,Docker,network,high
analytics,auth_sub,JavaScript,Kafka,concurrency,medium
payment,backend,Python,SpringBoot,integration,high
auth,api,Python,JWT,security,critical
auth,queue,Python,Docker,validation,high
analytics,security,JavaScript,Kafka,performance,medium
database,database,TypeScript,PostgreSQL,performance,high
payment,api,Python,SpringBoot,integration,high
profile,backend,Go,React,network,high
gateway,api,TypeScript,Docker,network,critical
database,router,TypeScript,Kafka,integration,medium
gateway,ui,JavaScript,PostgreSQL,validation,low
notification,auth_sub,Go,PostgreSQL,network,low
notification,web,Python,PostgreSQL,concurrency,low
analytics,queue,JavaScript,Kafka,security,critical
gateway,router,JavaScript,Docker,network,critical
auth,worker,Python,JWT,performance,low
payment,database,JavaScript,SpringBoot,integration,high
database,web,Go,PostgreSQL,performance,high
gateway,ui,TypeScript,SpringBoot,validation,high
reporting,backend,JavaScript,JWT,performance,low
gateway,api,Java,SpringBoot,security,low
analytics,backend,Java,Kafka,concurrency,medium
auth,auth_sub,Python,JWT,security,critical
database,worker,Go,PostgreSQL,performance,high
payment,security,Go,Docker,performance,critical
gateway,security,TypeScript,Docker,network,critical
notification,backend,JavaScript,Kafka,network,critical
payment,queue,Python,Docker,integration,low
payment,database,Go,PostgreSQL,network,medium
database,security,Python,SpringBoot,concurrency,critical
inventory,backend,Java,Docker,performance,high
